Training step	XE loss	Gating average	Overall sparsity	Weighted sparsity loss	Sparsity loss
708	5.033540249	5.00E+00	1.19209E-06	8.60094E-05	0.974998832
1062	4.508568287	5.000478745	3.57628E-06	0.000191777	0.974996448
1593	4.055670261	5.001136303	9.29832E-06	0.000432368	0.974990726
3186	3.215099335	5.002782822	4.15444E-05	0.001729415	0.974958479
3540	3.617102385	5.003062725	5.0962E-05	0.002133854	0.974949062
3894	3.788660288	5.003317356	6.16908E-05	0.002582446	0.974938333
4425	3.46617341	5.003657341	7.87377E-05	0.003335505	0.974921286
4956	3.338338852	5.003987312	9.57251E-05	0.004183835	0.974904299
5310	2.973067045	5.004184723	0.000106633	0.004802059	0.974893391
6903	3.544516802	5.004955292	0.000163138	0.008116079	0.974836886
7434	3.836596966	5.005187035	0.000182867	0.009412788	0.974817157
7611	2.942917585	5.005272865	0.000190318	0.009865921	0.974809706
8319	3.026486874	5.00554657	0.000217855	0.011787642	0.974782169
9204	3.127205133	5.005897999	0.000254035	0.01442724	0.974745989
9558	3.275850296	5.006017685	0.000266492	0.015558817	0.974733531
9735	3.170142412	5.006076336	0.000273585	0.016139686	0.974726439
10089	2.794494152	5.00619173	0.000287533	0.017333938	0.974712491
10266	3.386492729	5.006252289	0.000295341	0.017947303	0.974704683
10620	2.636909962	5.006346226	0.000312984	0.019206496	0.97468704
12567	3.02105546	5.006906509	0.000386	0.026889404	0.974614024
14514	2.659943819	5.007348537	0.000456214	0.035858475	0.97454381
14691	2.822833538	5.007378101	0.000463068	0.03673882	0.974536955
14868	2.724135637	5.007403851	0.000469565	0.037628461	0.974530458
15576	2.696910143	5.007517338	0.000492036	0.04129393	0.974507987
16107	2.683678389	5.007566929	0.000510454	0.044154376	0.97448957
16284	3.147065639	5.007570267	0.000516832	0.045128729	0.974483192
17523	2.67480278	5.00757885	0.000559747	0.052249819	0.974440277
18054	2.700211525	5.007587433	0.000580549	0.055459362	0.974419475
18762	2.615551233	5.007593155	0.000604808	0.059889369	0.974395216
18939	2.799461126	5.007591724	0.000611186	0.06102382	0.974388838
19116	2.558859348	5.007595539	0.000615716	0.062167671	0.974384308
20355	2.744980335	5.007530689	0.000663579	0.070475146	0.974336445
20709	2.984803677	5.007497787	0.000677109	0.072943479	0.974322915
22479	2.472073793	5.007231712	0.000743389	0.085920699	0.974256635
23010	2.638507605	5.007117748	0.000762284	0.090019874	0.97423774
23541	3.179381847	5.0070014	0.000780344	0.094214201	0.97421968
23718	2.517132044	5.006944656	0.000789106	0.095633678	0.974210918
24957	2.801052094	5.006606102	0.000833392	0.105863847	0.974166632
25311	3.382044315	5.006485462	0.000845909	0.108880661	0.974154115
28320	2.681296587	5.005125999	0.000963569	0.136227489	0.974036455
28497	2.461907864	5.005020618	0.000972927	0.137930721	0.974027097
28674	2.614236355	5.004920483	0.000978708	0.139643729	0.974021316
30267	2.769892931	5.003871441	0.001047313	0.155537844	0.973952711
30975	2.677594185	5.003379345	0.001074433	0.162875742	0.973925591
31152	2.570584059	5.003249168	0.001081586	0.16473563	0.973918438
32214	2.601359129	5.002439499	0.001128197	0.176116616	0.973871827
32745	2.915745497	5.002000332	0.00115329	0.181948006	0.973846734
32922	2.389040232	5.001857281	0.001161397	0.183913067	0.973838627
33453	2.590670824	5.001407146	0.001182079	0.189869121	0.973817945
34338	2.578689814	5.000602722	0.001217604	0.200005606	0.97378242
34515	2.501469851	5.000432014	0.001225412	0.202064484	0.973774612
35577	2.674878836	4.999365807	0.001271129	0.214634314	0.973728895
35754	2.360741377	4.999189854	0.001278937	0.216766089	0.973721087
36816	2.707252502	4.998084068	0.001330614	0.22977072	0.97366941
37347	2.558050394	4.997475147	0.001357436	0.236412719	0.973642588
38232	2.43629694	4.996441841	0.001398325	0.247692183	0.973601699
38940	2.389444351	4.995554924	0.00142926	0.256901681	0.973570764
39117	2.925101757	4.995334148	0.001435637	0.259230435	0.973564386
39648	2.37954092	4.994630814	0.001463592	0.266275644	0.973536432
39825	2.285084486	4.99438715	0.001473427	0.268645078	0.973526597
40356	2.764848232	4.993657589	0.001499236	0.275815666	0.973500788
40710	2.523060083	4.993161678	0.001516819	0.280646414	0.973483205
41772	2.624272585	4.991543293	0.001573026	0.295388371	0.973426998
41949	2.379467487	4.991259098	0.001581788	0.297881752	0.973418236
42126	2.581573725	4.990982533	0.001589179	0.30038479	0.973410845
42303	2.461920738	4.990705013	0.001597345	0.302899152	0.973402679
43011	2.319497108	4.98952961	0.001633525	0.313055992	0.973366499
43542	2.518779993	4.988623619	0.001661062	0.320781738	0.973338962
43896	2.492928267	4.988007069	0.001678586	0.325983346	0.973321438
46197	2.176970005	4.983762264	0.001801491	0.360792875	0.973198533
46551	2.880789757	4.983049393	0.001819134	0.366301566	0.97318089
46905	3.118325472	4.98231554	0.001840949	0.371850222	0.973159075
48852	2.239177227	4.978048325	0.001956284	0.403094858	0.97304374
49206	2.89904952	4.977238178	0.001974046	0.408909231	0.973025978
49383	2.509823561	4.976828575	0.001986802	0.411830366	0.973013222
49737	2.400013447	4.976007938	0.002006531	0.417705029	0.972993493
49914	2.583805084	4.975585461	0.002018154	0.4206554	0.97298187
50622	2.86873579	4.97389555	0.002064884	0.432562888	0.97293514
51153	2.284920931	4.972556114	0.002094328	0.441603154	0.972905695
51861	2.294523954	4.970731258	0.002140939	0.453794032	0.972859085
52746	3.068071365	4.96833992	0.002195179	0.469261974	0.972804844
53100	2.299489737	4.967360973	0.002216816	0.475518286	0.972783208
53277	2.580156803	4.966894627	0.002227068	0.478662848	0.972772956
53631	2.381208181	4.965951443	0.002248108	0.484981656	0.972751915
55047	2.873328686	4.961994171	0.002349555	0.510646224	0.972650468
55401	2.438191175	4.960950375	0.002372146	0.517164469	0.972627878
55578	2.496541739	4.960422516	0.00238657	0.520436883	0.972613454
55755	2.456410646	4.959889889	0.002397656	0.523720264	0.972602367
56109	2.389490843	4.958802223	0.002420425	0.530318916	0.972579598
58233	2.509266615	4.951906204	0.002573013	0.570735514	0.972427011
58587	2.700819731	4.950715065	0.002596617	0.577611923	0.972403407
58764	2.331455708	4.950110435	0.002610147	0.581063986	0.972389877
59295	2.828353882	4.948235989	0.002650797	0.591480017	0.972349226
59472	2.154361963	4.947610378	0.002663195	0.594971836	0.972336829
60003	2.38029027	4.945708275	0.002701044	0.605508983	0.97229898
60180	2.431547403	4.945061207	0.002711892	0.609041989	0.972288132
60357	2.15054822	4.944409847	0.002724409	0.612584293	0.972275615
60534	2.675251007	4.943742275	0.002740383	0.616133571	0.972259641
61065	2.335820675	4.941751003	0.002780318	0.626846194	0.972219706
61242	2.397879362	4.941073895	0.002794445	0.630436778	0.972205579
61596	2.393745661	4.939709663	0.002818763	0.637649298	0.972181261
61773	2.424810648	4.939025879	0.002830625	0.641270101	0.972169399
62127	2.630309582	4.93764782	0.00285691	0.648540974	0.972143114
63189	2.522594213	4.933354855	0.00293684	0.670586944	0.972063184
63366	2.878017664	4.932616711	0.002952337	0.67429471	0.972047687
63720	2.224296093	4.931146622	0.002979994	0.681741297	0.97202003
63897	2.574472189	4.930400372	0.00299716	0.685476542	0.972002864
64251	2.537972927	4.928895473	0.00302422	0.692981958	0.971975803
64605	2.876060009	4.927375317	0.003052175	0.700525701	0.971947849
64959	2.186567783	4.925837994	0.003081143	0.70810765	0.971918881
65136	2.216245174	4.925071239	0.00309366	0.711915016	0.971906364
65313	1.96261692	4.92428875	0.003107846	0.71573025	0.971892178
65490	2.153015375	4.923505783	0.003122449	0.719555497	0.971877575
65844	2.318759441	4.921898365	0.003150582	0.727235496	0.971849442
66552	2.499388933	4.918622017	0.003212035	0.742709398	0.971787989
67260	2.431300402	4.915266514	0.00327307	0.758338094	0.971726954
67437	2.495537519	4.914410591	0.003288567	0.762270212	0.971711457
67791	2.422399282	4.912688732	0.003319085	0.770162344	0.971680939
67968	2.242151499	4.911831379	0.003335774	0.774120986	0.97166425
68145	2.258334398	4.910967827	0.003350139	0.778091729	0.971649885
68322	2.412658215	4.910094261	0.003365636	0.782071948	0.971634388
68499	2.611499548	4.909212112	0.003381371	0.786061049	0.971618652
70446	2.383494616	4.89909029	0.003566742	0.830566227	0.971433282
70977	2.872220993	4.896260738	0.003614485	0.842908859	0.971385539
71154	2.512893438	4.895328522	0.003630459	0.847042799	0.971369565
71331	2.631963968	4.89437151	0.003645241	0.851185799	0.971354783
71685	2.402732611	4.892447948	0.003676355	0.859501243	0.971323669
72570	2.358598471	4.887516022	0.003768981	0.88044256	0.971231043
72924	1.962467551	4.885503292	0.003805637	0.88888526	0.971194386
73632	2.503334284	4.881399155	0.003875792	0.905888557	0.971124232
74163	1.880702019	4.878232002	0.00393182	0.918737829	0.971068203
75225	2.574628353	4.871707439	0.004052341	0.944683969	0.970947683
75402	2.366776466	4.870603561	0.004067779	0.949045241	0.970932245
75579	2.578244925	4.869493484	0.004084647	0.953415394	0.970915377
76110	2.463438034	4.86611414	0.004148185	0.966568708	0.970851839
76464	2.21954608	4.863808632	0.004186988	0.97538805	0.970813036
76818	2.433850288	4.861492157	0.004228294	0.98424238	0.97077173
76995	2.296577454	4.860320568	0.004247189	0.988685489	0.970752835
77703	2.236763716	4.855579376	0.004330218	1.006543279	0.970669806
78057	2.10276866	4.853164196	0.00436604	1.015534878	0.970633984
78588	2.099112272	4.849484921	0.004430115	1.029080153	0.970569909
78765	1.880419612	4.848234177	0.004452944	1.033613205	0.97054708
79119	2.362675428	4.845724106	0.004489958	1.042713642	0.970510066
79296	2.451611996	4.844461441	0.00451535	1.047272325	0.970484674
80181	2.293313503	4.838035107	0.004626334	1.070214033	0.97037369
80712	2.228332996	4.834073544	0.004697859	1.084086061	0.970302165
80889	2.790286541	4.832744598	0.00471884	1.088732004	0.970281184
81597	2.568122149	4.827339172	0.004807651	1.107399821	0.970192373
82482	2.29953146	4.820390224	0.004923463	1.130936146	0.970076561
82659	2.480578423	4.818968773	0.004945934	1.135671973	0.97005409
83544	2.340168476	4.811784267	0.005060375	1.15948534	0.969939649
83721	2.661268711	4.810325146	0.005087137	1.164271235	0.969912887
83898	2.264002562	4.808858871	0.005110681	1.169069052	0.969889343
84606	2.959508657	4.802878857	0.005205214	1.188353062	0.96979481
84783	1.828072548	4.801354408	0.00523144	1.193193674	0.969768584
85314	2.544583082	4.796753407	0.005305767	1.207774878	0.969694257
85668	2.209986925	4.793655396	0.005351007	1.217546105	0.969649017
86376	1.956030726	4.78734827	0.005453706	1.23718226	0.969546318
86553	2.900960445	4.785754681	0.005476892	1.24211669	0.969523132
87438	2.762016773	4.777593136	0.005613983	1.266898513	0.969386041
87969	2.564726591	4.772589684	0.005689085	1.281884313	0.969310939
88500	2.497894287	4.767473221	0.005772412	1.296938896	0.969227612
88677	2.642272472	4.765806198	0.005796373	1.301980138	0.969203651
89208	2.419063568	4.760746002	0.005878925	1.317143202	0.969121099
89385	2.289037466	4.75901556	0.005907238	1.322214365	0.969092786
89739	2.39096117	4.755514145	0.005966663	1.332378626	0.96903336
90270	2.272431374	4.75020647	0.006050646	1.34769845	0.968949378
90801	2.272279263	4.744812012	0.006139457	1.363093138	0.968860567
90978	2.075092316	4.742981911	0.006167054	1.368244529	0.96883297
91155	2.281333923	4.741142273	0.006198406	1.373399615	0.968801618
91686	2.301977158	4.735563755	0.0062868	1.388925314	0.968713224
91863	2.325376749	4.733690739	0.006317496	1.394115806	0.968682528
92571	2.210348368	4.726038933	0.006440997	1.41496706	0.968559027
92748	2.77202034	4.724095345	0.006471336	1.420202613	0.968528688
92925	2.377472162	4.722147942	0.006500721	1.425447345	0.968499303
93102	2.719538689	4.720188141	0.006534934	1.430694938	0.96846509
93987	2.716458559	4.710233688	0.006692886	1.457078934	0.968307137
94164	2.331171751	4.708195686	0.006726861	1.462378979	0.968273163
94695	2.760113239	4.702039242	0.00682205	1.478339195	0.968177974
95049	2.361187696	4.69786787	0.006884694	1.489023805	0.96811533
95580	2.832736015	4.691526413	0.006982028	1.50510931	0.968017995
95934	2.258341312	4.687209129	0.007052124	1.515868664	0.9679479
96288	2.730265379	4.682869911	0.00711894	1.526666403	0.967881083
97173	2.538682938	4.671774387	0.007295609	1.553795934	0.967704415
97350	2.018688679	4.669506073	0.007332265	1.559245229	0.967667758
97527	2.355063438	4.667239189	0.007365525	1.564708948	0.967634499
97704	2.259915113	4.664949417	0.007398069	1.57018137	0.967601955
97881	2.201635122	4.662657261	0.007437229	1.575652003	0.967562795
98058	2.342252731	4.660348892	0.007476151	1.581131816	0.967523873
99828	2.124785423	4.636447906	0.007854998	1.636406541	0.967145026
100359	2.368830681	4.62899971	0.00797689	1.653138161	0.967023134
101244	2.458547592	4.616280556	0.00817132	1.68120575	0.966828704
101598	2.850621462	4.611085892	0.008252442	1.692483187	0.966747582
102129	2.515142441	4.603194714	0.00837338	1.709466219	0.966626644
102306	2.234288454	4.600531578	0.008417904	1.715134859	0.966582119
102660	2.21914959	4.595142841	0.008506894	1.726499677	0.96649313
102837	2.60134697	4.592428684	0.008552969	1.73219049	0.966447055
103899	2.757502794	4.575798988	0.008810699	1.766543627	0.966189325
104253	3.08480525	4.570111275	0.00890398	1.778045297	0.966096044
104961	2.365706205	4.558506489	0.009098232	1.801133513	0.965901792
106731	1.945858717	4.528393745	0.009582162	1.85941565	0.965417862
107262	2.374985695	4.519046307	0.009728253	1.877052903	0.965271771
107616	2.305190563	4.51271534	0.009839237	1.888825893	0.965160787
108324	2.329026222	4.499787807	0.010052085	1.912480712	0.964947939
108855	2.679453135	4.489844799	0.010216773	1.930293798	0.964783251
109032	2.240447521	4.486491203	0.010272026	1.936246276	0.964727998
110271	2.08028841	4.462378025	0.010677457	1.978092909	0.964322567
111156	2.508634806	4.444438934	0.010989249	2.008166552	0.964010775
111333	2.554475307	4.44077158	0.011047006	2.01421237	0.963953018
112926	2.231286526	4.406692982	0.011619747	2.068864346	0.963380277
113988	2.370146036	4.382760525	0.012025595	2.105583668	0.962974429
114165	1.924794555	4.378667355	0.012096226	2.111721754	0.962903798
115050	2.331819057	4.357778072	0.01246202	2.142497063	0.962538004
115404	2.301342726	4.349219322	0.012605369	2.154865503	0.962394655
116112	2.472623348	4.331700325	0.012916207	2.179632902	0.962083817
116466	2.641920805	4.322731972	0.013075948	2.192049742	0.961924076
116820	1.953654647	4.313645363	0.013237	2.204491615	0.961763024
116997	2.186730385	4.309036732	0.01331979	2.210718393	0.961680233
117528	2.492213249	4.295030117	0.0135777	2.229416609	0.961422324
117705	2.15565753	4.290299892	0.013671219	2.235646009	0.961328804
118059	2.327908754	4.280702114	0.013851106	2.248141766	0.961148918
118413	2.809697628	4.270951271	0.014036417	2.260653019	0.960963607
118767	2.464059114	4.261063099	0.014233768	2.273160696	0.960766256
118944	2.819781542	4.256057739	0.014328301	2.279434919	0.960671723
120360	2.570075989	4.214533806	0.015138626	2.329742432	0.959861398
120891	2.212697029	4.198248386	0.015471935	2.348644257	0.959528089
121245	2.398607731	4.187164783	0.015695274	2.361274004	0.95930475
122130	2.520604134	4.158608913	0.016298652	2.392849445	0.958701372
122307	2.190465927	4.152758598	0.016419947	2.399181366	0.958580077
122484	2.482235909	4.146843433	0.016550422	2.405497551	0.958449602
123192	2.183688879	4.122694492	0.017074466	2.430813551	0.957925558
123369	2.192284584	4.116519928	0.017209947	2.43714571	0.957790077
124077	2.641661644	4.091286659	0.017783284	2.462455511	0.95721674
124785	2.210324049	4.065361977	0.018398941	2.487746477	0.956601083
124962	2.31424427	4.058701992	0.018560827	2.494063854	0.956439197
125316	2.425343752	4.045220375	0.018886149	2.506708384	0.956113875
126555	2.141607046	3.995879412	0.020133436	2.550843477	0.954866588
127794	2.345353127	3.94294095	0.021598637	2.594637871	0.953401387
128148	2.522849083	3.927060127	0.022055864	2.607086897	0.95294416
128325	2.259065866	3.919019461	0.022291064	2.613299847	0.95270896
128502	1.933840394	3.910875797	0.022526741	2.619514704	0.952473283
128679	2.409720182	3.902657986	0.022764921	2.625728607	0.952235103
128856	2.273540258	3.894336224	0.023014367	2.631913424	0.951985657
130095	1.867588997	3.833600521	0.02491653	2.674884558	0.950083494
130626	2.612576008	3.806060314	0.025832891	2.693066597	0.949167132
131157	2.460936308	3.777607679	0.026812792	2.711094379	0.948187232
131511	2.12877202	3.758062363	0.027504623	2.723014832	0.947495401
131865	2.299074888	3.738095284	0.028238356	2.734823227	0.946761668
132042	2.334085703	3.727920532	0.028613567	2.740707159	0.946386456
133104	2.257528067	3.664293289	0.031046212	2.775511503	0.943953812
133635	2.390405655	3.630698919	0.032388866	2.792556286	0.942611158
133989	2.235368967	3.607596159	0.033331931	2.803780794	0.941668093
134343	2.254013777	3.583921194	0.034339964	2.814809799	0.940660059
134697	2.450451612	3.559602499	0.035378814	2.825746298	0.93962121
135051	2.51976347	3.534682035	0.03646332	2.836542845	0.938536704
135936	2.27679944	3.469498634	0.03941679	2.862774134	0.935583234
136113	2.214008331	3.455902338	0.040056944	2.867863894	0.93494308
136467	2.428313255	3.428195238	0.041368484	2.877938747	0.933631539
136821	2.574051619	3.399751902	0.042703629	2.887928963	0.932296395
137706	2.611890316	3.325150251	0.046339035	2.911918402	0.928660989
138591	2.209998846	3.24505043	0.050306737	2.934750319	0.924693286
139830	2.34474206	3.122512579	0.056639969	2.963981628	0.918360054
140007	2.357514381	3.103873014	0.057618916	2.967889071	0.917381108
140538	2.457714558	3.046242952	0.060606956	2.979396105	0.914393067
141423	2.180424929	2.943572044	0.065984547	2.997090101	0.909015477
141600	2.966698647	2.921977043	0.067121625	3.000395298	0.907878399
143370	2.476836443	2.68372798	0.07937324	3.029857159	0.895626783
143547	2.297888994	2.657173872	0.080725431	3.032302856	0.894274592
144255	2.309668541	2.544908524	0.086537778	3.040557623	0.888462245
144432	2.405051231	2.51517725	0.088065088	3.042325735	0.886934936
145140	2.040538788	2.388683319	0.094715536	3.047346354	0.880284488
145494	2.250804424	2.320309401	0.098408043	3.048458815	0.87659198
146379	1.958369136	2.131429911	0.108958602	3.046196461	0.866041422
146556	2.163931131	2.090085268	0.111348093	3.044677496	0.863651931
146733	2.253033638	2.047420502	0.113869369	3.042660713	0.861130655
146910	2.198966503	2.003358126	0.116539359	3.040083408	0.858460665
147264	2.422785044	1.910639167	0.122325778	3.033228636	0.852674246
147618	2.455428839	1.811171651	0.128826499	3.023660898	0.846173525
147972	2.926858664	1.704375744	0.136314929	3.01036334	0.838685095
148149	1.927083135	1.648039222	0.140587211	3.001734734	0.834412813
149034	2.147238493	1.335080266	0.172037363	2.920941114	0.802962661
149919	2.10204339	0.975411057	0.333443642	2.359748363	0.641556382
150450	2.916970968	0.748132825	0.466663659	1.882126212	0.508336365
150627	2.893272877	0.672335923	0.493303418	1.787409306	0.481696606
151512	2.430032969	0.305829793	0.583712876	1.467882872	0.391287148
151689	2.154136658	0.23629123	0.596580863	1.422703266	0.378419161
152043	2.440085411	0.101677015	0.619204164	1.343472719	0.35579586
152397	2.431502819	-0.026718128	0.638339162	1.276739478	0.336660862
153282	2.206540346	-0.320610464	0.675462008	1.14827013	0.299538016
153459	2.082145214	-0.375003785	0.681580245	1.127234459	0.293419778
153636	2.660364866	-0.428075403	0.687327564	1.107527971	0.28767246
153990	2.398131847	-0.530198395	0.697922051	1.0713166	0.277077973
154344	2.181581736	-0.627296984	0.707418084	1.039027572	0.26758194
154698	2.343589067	-0.719844759	0.71606344	1.009748578	0.258936584
155229	2.692250252	-0.850856781	0.727697253	0.97054112	0.247302771
155406	2.294234276	-0.892600596	0.731278062	0.958515048	0.243721962
156468	3.122385979	-1.124833703	0.750235558	0.895204544	0.224764466
156645	2.230029821	-1.16092658	0.753034651	0.885912359	0.221965373
156999	2.097931147	-1.230929136	0.758405924	0.868100882	0.2165941
157353	2.382335663	-1.298258066	0.763422847	0.851541758	0.211577177
157707	2.176645041	-1.363288283	0.768192828	0.835817218	0.206807196
159300	2.290697575	-1.629616141	0.786775649	0.775001884	0.188224375
159654	2.28164053	-1.68357408	0.790377557	0.76329869	0.184622467
159831	2.260000706	-1.709919333	0.792103291	0.757714927	0.182896733
160185	2.233613253	-1.761499643	0.795483887	0.746757388	0.179516137
161778	2.401653767	-1.976090312	0.80899024	0.703308821	0.166009784
161955	2.718087912	-1.998364925	0.810348034	0.698964953	0.16465199
162486	2.288590193	-2.063725471	0.814260602	0.686487675	0.160739422
163194	2.228270292	-2.147164345	0.81916374	0.670901835	0.155836284
163548	2.146328926	-2.187350988	0.8214854	0.663549781	0.153514624
164610	2.433536053	-2.302657366	0.828005791	0.642980993	0.146994233
164787	2.32653451	-2.321215868	0.829036236	0.639736831	0.145963788
164964	2.116381168	-2.3395257	0.830038071	0.636601567	0.144961953
165141	2.286644459	-2.357628584	0.831033945	0.633476257	0.143966079
165495	2.175031185	-2.393353462	0.832989931	0.627333879	0.142010093
165849	2.662363052	-2.428317308	0.834896326	0.621347129	0.140103698
166557	2.816106319	-2.496320009	0.838524461	0.610010028	0.136475563
166911	2.301947117	-2.52937746	0.84027034	0.604557693	0.134729683
167442	2.315402031	-2.577844858	0.842841744	0.596484721	0.132158279
167796	2.427504539	-2.609364033	0.844468415	0.591428697	0.130531609
169212	2.39892602	-2.730150461	0.85059309	0.572422028	0.124406934
170451	2.767736673	-2.829560995	0.855512559	0.55717206	0.119487464
170982	2.965714455	-2.870517254	0.857499599	0.551029325	0.117500424
171336	2.451724052	-2.897290945	0.858784676	0.547065318	0.116215348
171867	2.197162151	-2.936594725	0.860661268	0.541280448	0.114338756
172575	2.872013569	-2.987858534	0.863078475	0.533825517	0.111921549
172929	2.463269711	-3.012948275	0.864249945	0.530215204	0.110750079
173106	1.926281929	-3.025344849	0.864829302	0.528425753	0.110170722
173460	2.936163664	-3.049880981	0.865985096	0.524831772	0.109014928
173991	2.260159969	-3.086090326	0.867667913	0.519614279	0.10733211
174168	2.469789982	-3.098021984	0.868202746	0.51798296	0.106797278
175407	2.781250715	-3.179113865	0.871863782	0.506717086	0.103136241
175584	2.256558418	-3.190397024	0.87235117	0.505247831	0.102648854
176292	2.481838226	-3.234806299	0.874291301	0.499334604	0.100708723
177708	2.404939651	-3.32035017	0.877997458	0.487989545	0.097002566
177885	2.327517271	-3.330761909	0.878435075	0.486665338	0.096564949
178062	2.543590307	-3.341034889	0.878857791	0.485408813	0.096142232
178239	2.217010975	-3.351244926	0.87927866	0.484154552	0.095721364
178593	2.470364571	-3.371558905	0.880114973	0.4816522	0.094885051
179124	2.214528084	-3.401598454	0.881353199	0.477928042	0.093646824
179301	2.112309933	-3.411494732	0.881754398	0.476731628	0.093245625
181071	2.576991558	-3.507384062	0.885606408	0.465223521	0.089393616
181602	2.374970436	-3.535181522	0.886711955	0.461904466	0.088288069
181779	2.406462431	-3.544362307	0.887085319	0.460760057	0.087914705
182841	2.17398262	-3.598409891	0.889181376	0.454522192	0.085818648
183018	2.510219812	-3.60721302	0.889514923	0.453545272	0.085485101
183549	2.592676163	-3.633558273	0.890532792	0.450488567	0.084467232
183726	2.468564749	-3.642277479	0.89088273	0.449401081	0.084117293
184257	1.9971205	-3.668045998	0.891847908	0.446556747	0.083152115
184434	2.521256924	-3.676539183	0.892171144	0.445589453	0.082828879
184788	2.335686445	-3.693466902	0.892804801	0.443707198	0.082195222
185142	2.540541172	-3.710229635	0.893454134	0.441718131	0.081545889
185319	2.334974051	-3.718545198	0.893759549	0.440819651	0.081240475
186558	2.413375139	-3.775872231	0.895884514	0.434453011	0.07911551
186735	2.048396111	-3.783930779	0.896189272	0.433515966	0.078810751
186912	2.284908056	-3.791907787	0.896494865	0.432568938	0.078505158
187089	2.687958241	-3.799861193	0.896769226	0.431788892	0.078230798
187443	2.341262341	-3.815628767	0.897348344	0.43004638	0.07765168
187797	2.230675697	-3.83134079	0.897931516	0.428261101	0.077068508
188151	2.743261576	-3.846932173	0.898510933	0.426476389	0.076489091
188328	2.122826815	-3.854658365	0.898773432	0.425728351	0.076226592
188505	2.830685616	-3.862413883	0.899059355	0.424844742	0.075940669
188682	2.876801968	-3.870125532	0.899350107	0.423929095	0.075649917
189744	2.341136217	-3.915455818	0.900959909	0.419090331	0.074040115
189921	2.242599726	-3.922888756	0.901216388	0.418334514	0.073783636
190098	2.093477726	-3.93027854	0.901477814	0.417546004	0.07352221
190452	2.520497799	-3.945004225	0.902003884	0.415936887	0.07299614
192222	2.304111958	-4.017063141	0.904526889	0.408235192	0.070473135
192576	2.243935823	-4.031171322	0.905011833	0.406755596	0.069988191
192753	2.491657257	-4.038168907	0.905251861	0.406023622	0.069748163
193107	2.173037529	-4.052160263	0.905740738	0.404495448	0.069259286
194169	2.61998558	-4.093319416	0.907134354	0.400237173	0.06786567
194700	2.311560392	-4.113548756	0.907813311	0.398158133	0.067186713
195408	2.393692255	-4.140209198	0.908724248	0.395296007	0.066275775
195939	2.785450697	-4.159870148	0.909373879	0.393307745	0.065626144
196470	2.382772207	-4.179306984	0.910012782	0.391349465	0.064987242
197355	2.474642754	-4.211153984	0.911040366	0.388235509	0.063959658
197532	2.26585722	-4.217432976	0.91123867	0.387645483	0.063761353
197709	2.821305037	-4.223714352	0.91142571	0.387120575	0.063574314
198240	2.35675168	-4.242542267	0.912026584	0.385282665	0.06297344
198594	2.406500578	-4.254936695	0.912424684	0.384054661	0.06257534
200010	2.396519423	-4.303728104	0.913934708	0.379510999	0.061065316
200364	2.759127855	-4.315670013	0.914292455	0.378464282	0.060707569
200718	2.311053038	-4.327664852	0.914670229	0.377279431	0.060329795
202134	2.348465204	-4.374600887	0.916086674	0.373002589	0.05891335
202488	2.744753122	-4.386176586	0.916439652	0.371908426	0.058560371
203019	2.22367382	-4.403389454	0.916961133	0.370294154	0.05803889
203373	1.985464692	-4.414719105	0.917298853	0.369265735	0.05770117
203904	2.73085022	-4.431683064	0.917801917	0.367722809	0.057198107
204081	2.32667923	-4.437311172	0.9179883	0.367082	0.057011724
204435	2.817929745	-4.448529243	0.918319404	0.366059124	0.05668062
204612	2.38258791	-4.45409441	0.9184829	0.365556419	0.056517124
204789	2.169015646	-4.459653378	0.918650568	0.365023822	0.056349456
205497	2.348917246	-4.481721878	0.919294	0.36304003	0.055706024
206205	2.590647459	-4.503525257	0.91993773	0.361007124	0.055062294
206913	2.587441444	-4.525074959	0.920573115	0.358982116	0.054426908
207090	2.261922121	-4.530451775	0.920733213	0.358460248	0.05426681
207444	2.108506203	-4.541141987	0.921036541	0.357519478	0.053963482
208152	2.453485966	-4.562273502	0.921645463	0.35558933	0.053354561
208329	2.55712533	-4.567514896	0.921791136	0.355143517	0.053208888
209214	2.551081419	-4.593641758	0.922548473	0.352679461	0.052451551
209568	2.089574099	-4.603991985	0.922846079	0.3517102	0.052153945
