Layer	Proposed	Gradual	Hard-blind
Conv2d_1a_7x7/weights/mask	0.4355868	0.974915	0.5800383
Conv2d_2b_1x1/weights/mask	0.4052734	0.9748535	0.6047363
Conv2d_2c_3x3/weights/mask	0.7980686	0.9748355	0.885498
Mixed_3b/Branch_0/Conv2d_0a_1x1/weights/mask	0.5391439	0.9748535	0.7977701
Mixed_3b/Branch_1/Conv2d_0a_1x1/weights/mask	0.7677409	0.9749892	0.836263
Mixed_3b/Branch_1/Conv2d_0b_3x3/weights/mask	0.9393718	0.9748535	0.959328
Mixed_3b/Branch_2/Conv2d_0a_1x1/weights/mask	0.7460938	0.9749349	0.8505859
Mixed_3b/Branch_2/Conv2d_0b_3x3/weights/mask	0.8216146	0.9743924	0.8832465
Mixed_3b/Branch_3/Conv2d_0b_1x1/weights/mask	0.7101237	0.9746094	0.8569336
Mixed_3c/Branch_0/Conv2d_0a_1x1/weights/mask	0.7991638	0.9747314	0.8942871
Mixed_3c/Branch_1/Conv2d_0a_1x1/weights/mask	0.8492126	0.9749451	0.8812866
Mixed_3c/Branch_1/Conv2d_0b_3x3/weights/mask	0.9590884	0.9749394	0.9832944
Mixed_3c/Branch_2/Conv2d_0a_1x1/weights/mask	0.8349609	0.9749756	0.8729248
Mixed_3c/Branch_2/Conv2d_0b_3x3/weights/mask	0.8538773	0.97432	0.9464337
Mixed_3c/Branch_3/Conv2d_0b_1x1/weights/mask	0.7871094	0.9745483	0.9086304
Mixed_4b/Branch_0/Conv2d_0a_1x1/weights/mask	0.8339627	0.9749892	0.9445313
Mixed_4b/Branch_1/Conv2d_0a_1x1/weights/mask	0.9110894	0.9747179	0.9366536
Mixed_4b/Branch_1/Conv2d_0b_3x3/weights/mask	0.9672643	0.9742755	0.9815816
Mixed_4b/Branch_2/Conv2d_0a_1x1/weights/mask	0.9432291	0.9747396	0.9368489
Mixed_4b/Branch_2/Conv2d_0b_3x3/weights/mask	0.7725694	0.9749711	0.8457755
Mixed_4b/Branch_3/Conv2d_0b_1x1/weights/mask	0.7177409	0.9749674	0.9118164
Mixed_4c/Branch_0/Conv2d_0a_1x1/weights/mask	0.89281	0.9747925	0.9338257
Mixed_4c/Branch_1/Conv2d_0a_1x1/weights/mask	0.921317	0.9749233	0.934239
Mixed_4c/Branch_1/Conv2d_0b_3x3/weights/mask	0.9726341	0.9743924	0.9879757
Mixed_4c/Branch_2/Conv2d_0a_1x1/weights/mask	0.9720052	0.9743652	0.9522298
Mixed_4c/Branch_2/Conv2d_0b_3x3/weights/mask	0.9270833	0.9749711	0.9374276
Mixed_4c/Branch_3/Conv2d_0b_1x1/weights/mask	0.8925781	0.9747314	0.9393005
Mixed_4d/Branch_0/Conv2d_0a_1x1/weights/mask	0.8664703	0.974762	0.9302063
Mixed_4d/Branch_1/Conv2d_0a_1x1/weights/mask	0.9080048	0.9749146	0.9358368
Mixed_4d/Branch_1/Conv2d_0b_3x3/weights/mask	0.9757589	0.9744365	0.992591
Mixed_4d/Branch_2/Conv2d_0a_1x1/weights/mask	0.9555664	0.9748535	0.9615071
Mixed_4d/Branch_2/Conv2d_0b_3x3/weights/mask	0.9361979	0.9748987	0.9610822
Mixed_4d/Branch_3/Conv2d_0b_1x1/weights/mask	0.8738098	0.9747925	0.9430847
Mixed_4e/Branch_0/Conv2d_0a_1x1/weights/mask	0.8658796	0.9749581	0.9320242
Mixed_4e/Branch_1/Conv2d_0a_1x1/weights/mask	0.8902317	0.9749892	0.9303521
Mixed_4e/Branch_1/Conv2d_0b_3x3/weights/mask	0.9747219	0.9744861	0.9943014
Mixed_4e/Branch_2/Conv2d_0a_1x1/weights/mask	0.9341431	0.9749756	0.9428101
Mixed_4e/Branch_2/Conv2d_0b_3x3/weights/mask	0.9353841	0.9748264	0.9577366
Mixed_4e/Branch_3/Conv2d_0b_1x1/weights/mask	0.8537903	0.9748535	0.9352722
Mixed_4f/Branch_0/Conv2d_0a_1x1/weights/mask	0.9353323	0.9740471	0.967078
Mixed_4f/Branch_1/Conv2d_0a_1x1/weights/mask	0.8864583	0.9749882	0.9330137
Mixed_4f/Branch_1/Conv2d_0b_3x3/weights/mask	0.9829623	0.9744032	0.9976519
Mixed_4f/Branch_2/Conv2d_0a_1x1/weights/mask	0.9184422	0.9746686	0.933357
Mixed_4f/Branch_2/Conv2d_0b_3x3/weights/mask	0.9346517	0.9749349	0.9694011
Mixed_4f/Branch_3/Conv2d_0b_1x1/weights/mask	0.8799272	0.9749497	0.9529771
Mixed_5b/Branch_0/Conv2d_0a_1x1/weights/mask	0.9864455	0.9744732	0.9856333
Mixed_5b/Branch_1/Conv2d_0a_1x1/weights/mask	0.9533278	0.974985	0.9623498
Mixed_5b/Branch_1/Conv2d_0b_3x3/weights/mask	0.9808897	0.9747656	0.9967014
